epoch ,time      ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,  7312.87 ,  1.60126 ,  3.19501 ,  2.78788 ,  1.78081 ,                0.29269 ,             0.11264 ,            0.21782 ,               0.15667 ,                0.29321 ,             0.1073  ,            0.20284 ,               0.1364  ,          0.11001 ,          0.15172 ,          0.16946 ,          0.10695 ,          0.13373 ,          0.14406 ,1.35323 ,2.91262 ,7.90208 ,1.44602 ,0.000666605 ,0.000666605 ,0.000666605
    2 , 11814.6  ,  1.16443 ,  2.45429 ,  2.07252 ,  1.3426  ,                0.29269 ,             0.11264 ,            0.21782 ,               0.15667 ,                0.29321 ,             0.1073  ,            0.20284 ,               0.1364  ,          0.11001 ,          0.15172 ,          0.16946 ,          0.10695 ,          0.13373 ,          0.14406 ,1.35323 ,2.91262 ,7.90208 ,1.44602 ,0.00128927  ,0.00128927  ,0.00128927
    3 , 14667.5  ,  1.10029 ,  2.33176 ,  1.95792 ,  1.28863 ,                0.29269 ,             0.11264 ,            0.21782 ,               0.15667 ,                0.29321 ,             0.1073  ,            0.20284 ,               0.1364  ,          0.11001 ,          0.15172 ,          0.16946 ,          0.10695 ,          0.13373 ,          0.14406 ,1.35323 ,2.91262 ,7.90208 ,1.44602 ,0.00186794  ,0.00186794  ,0.00186794
    4 , 17564.7  ,  1.06626 ,  2.25897 ,  1.89266 ,  1.25969 ,                0.29269 ,             0.11264 ,            0.21782 ,               0.15667 ,                0.29321 ,             0.1073  ,            0.20284 ,               0.1364  ,          0.11001 ,          0.15172 ,          0.16946 ,          0.10695 ,          0.13373 ,          0.14406 ,1.35323 ,2.91262 ,7.90208 ,1.44602 ,0.001802    ,0.001802    ,0.001802
    5 , 20410.3  ,  1.03904 ,  2.20046 ,  1.83649 ,  1.23723 ,                0.29269 ,             0.11264 ,            0.21782 ,               0.15667 ,                0.29321 ,             0.1073  ,            0.20284 ,               0.1364  ,          0.11001 ,          0.15172 ,          0.16946 ,          0.10695 ,          0.13373 ,          0.14406 ,1.35323 ,2.91262 ,7.90208 ,1.44602 ,0.001736    ,0.001736    ,0.001736
    6 , 25017.8  ,  1.02418 ,  2.16444 ,  1.80165 ,  1.22509 ,                0.22835 ,             0.20816 ,            0.33037 ,               0.24333 ,                0.26621 ,             0.17894 ,            0.31259 ,               0.20989 ,          0.16668 ,          0.23793 ,          0.26192 ,          0.1557  ,          0.2107  ,          0.21892 ,1.1673  ,2.53611 ,6.5627  ,1.2639  ,0.00167     ,0.00167     ,0.00167
    7 , 27863.2  ,  1.0126  ,  2.13932 ,  1.78155 ,  1.21692 ,                0.22835 ,             0.20816 ,            0.33037 ,               0.24333 ,                0.26621 ,             0.17894 ,            0.31259 ,               0.20989 ,          0.16668 ,          0.23793 ,          0.26192 ,          0.1557  ,          0.2107  ,          0.21892 ,1.1673  ,2.53611 ,6.5627  ,1.2639  ,0.001604    ,0.001604    ,0.001604
    8 , 30795.2  ,  1.00572 ,  2.11766 ,  1.7624  ,  1.2109  ,                0.22835 ,             0.20816 ,            0.33037 ,               0.24333 ,                0.26621 ,             0.17894 ,            0.31259 ,               0.20989 ,          0.16668 ,          0.23793 ,          0.26192 ,          0.1557  ,          0.2107  ,          0.21892 ,1.1673  ,2.53611 ,6.5627  ,1.2639  ,0.001538    ,0.001538    ,0.001538
    9 , 33655.6  ,  0.99779 ,  2.10036 ,  1.75135 ,  1.20512 ,                0.22835 ,             0.20816 ,            0.33037 ,               0.24333 ,                0.26621 ,             0.17894 ,            0.31259 ,               0.20989 ,          0.16668 ,          0.23793 ,          0.26192 ,          0.1557  ,          0.2107  ,          0.21892 ,1.1673  ,2.53611 ,6.5627  ,1.2639  ,0.001472    ,0.001472    ,0.001472
   10 , 36561.7  ,  0.99206 ,  2.08564 ,  1.73797 ,  1.20083 ,                0.22835 ,             0.20816 ,            0.33037 ,               0.24333 ,                0.26621 ,             0.17894 ,            0.31259 ,               0.20989 ,          0.16668 ,          0.23793 ,          0.26192 ,          0.1557  ,          0.2107  ,          0.21892 ,1.1673  ,2.53611 ,6.5627  ,1.2639  ,0.001406    ,0.001406    ,0.001406
   11 , 41131.2  ,  0.98677 ,  2.0732  ,  1.72238 ,  1.19529 ,                0.25472 ,             0.19572 ,            0.35407 ,               0.26531 ,                0.25352 ,             0.19239 ,            0.33225 ,               0.2275  ,          0.18135 ,          0.26326 ,          0.28224 ,          0.16428 ,          0.22944 ,          0.23715 ,1.13756 ,2.48331 ,6.36735 ,1.23143 ,0.00134     ,0.00134     ,0.00134
   12 , 44005.6  ,  0.97975 ,  2.06017 ,  1.70825 ,  1.19133 ,                0.25472 ,             0.19572 ,            0.35407 ,               0.26531 ,                0.25352 ,             0.19239 ,            0.33225 ,               0.2275  ,          0.18135 ,          0.26326 ,          0.28224 ,          0.16428 ,          0.22944 ,          0.23715 ,1.13756 ,2.48331 ,6.36735 ,1.23143 ,0.001274    ,0.001274    ,0.001274
   13 , 46898.8  ,  0.97375 ,  2.04193 ,  1.6961  ,  1.18708 ,                0.25472 ,             0.19572 ,            0.35407 ,               0.26531 ,                0.25352 ,             0.19239 ,            0.33225 ,               0.2275  ,          0.18135 ,          0.26326 ,          0.28224 ,          0.16428 ,          0.22944 ,          0.23715 ,1.13756 ,2.48331 ,6.36735 ,1.23143 ,0.001208    ,0.001208    ,0.001208
   14 , 49751.1  ,  0.96699 ,  2.02863 ,  1.68472 ,  1.18274 ,                0.25472 ,             0.19572 ,            0.35407 ,               0.26531 ,                0.25352 ,             0.19239 ,            0.33225 ,               0.2275  ,          0.18135 ,          0.26326 ,          0.28224 ,          0.16428 ,          0.22944 ,          0.23715 ,1.13756 ,2.48331 ,6.36735 ,1.23143 ,0.001142    ,0.001142    ,0.001142
