epoch ,time      ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
   15 , 52702.5  ,  0.9634  ,  2.02087 ,  1.67546 ,  1.1795  ,                0.25472 ,             0.19572 ,            0.35407 ,               0.26531 ,                0.25352 ,             0.19239 ,            0.33225 ,               0.2275  ,          0.18135 ,          0.26326 ,          0.28224 ,          0.16428 ,          0.22944 ,          0.23715 ,1.13756 ,2.48331 ,6.36735 ,1.23143 ,0.001076    ,0.001076    ,0.001076
   16 , 57226.9  ,  0.95822 ,  2.01079 ,  1.66301 ,  1.17636 ,                0.25675 ,             0.20081 ,            0.36962 ,               0.27737 ,                0.26934 ,             0.1841  ,            0.35216 ,               0.23988 ,          0.21112 ,          0.27282 ,          0.29332 ,          0.19796 ,          0.24013 ,          0.24721 ,1.1283  ,2.46873 ,5.88854 ,1.21774 ,0.00101     ,0.00101     ,0.00101
   17 , 60154.3  ,  0.9537  ,  1.99806 ,  1.65305 ,  1.17369 ,                0.25675 ,             0.20081 ,            0.36962 ,               0.27737 ,                0.26934 ,             0.1841  ,            0.35216 ,               0.23988 ,          0.21112 ,          0.27282 ,          0.29332 ,          0.19796 ,          0.24013 ,          0.24721 ,1.1283  ,2.46873 ,5.88854 ,1.21774 ,0.000944    ,0.000944    ,0.000944
   18 , 63066.5  ,  0.94808 ,  1.98649 ,  1.6426  ,  1.16973 ,                0.25675 ,             0.20081 ,            0.36962 ,               0.27737 ,                0.26934 ,             0.1841  ,            0.35216 ,               0.23988 ,          0.21112 ,          0.27282 ,          0.29332 ,          0.19796 ,          0.24013 ,          0.24721 ,1.1283  ,2.46873 ,5.88854 ,1.21774 ,0.000878    ,0.000878    ,0.000878
   19 , 65966.3  ,  0.94246 ,  1.97316 ,  1.63083 ,  1.16565 ,                0.25675 ,             0.20081 ,            0.36962 ,               0.27737 ,                0.26934 ,             0.1841  ,            0.35216 ,               0.23988 ,          0.21112 ,          0.27282 ,          0.29332 ,          0.19796 ,          0.24013 ,          0.24721 ,1.1283  ,2.46873 ,5.88854 ,1.21774 ,0.000812    ,0.000812    ,0.000812
   20 , 68869.2  ,  0.93492 ,  1.95584 ,  1.6183  ,  1.16136 ,                0.25675 ,             0.20081 ,            0.36962 ,               0.27737 ,                0.26934 ,             0.1841  ,            0.35216 ,               0.23988 ,          0.21112 ,          0.27282 ,          0.29332 ,          0.19796 ,          0.24013 ,          0.24721 ,1.1283  ,2.46873 ,5.88854 ,1.21774 ,0.000746    ,0.000746    ,0.000746
   21 , 73452.4  ,  0.92822 ,  1.93991 ,  1.60751 ,  1.15806 ,                0.27927 ,             0.1934  ,            0.38237 ,               0.28645 ,                0.27855 ,             0.19095 ,            0.36137 ,               0.24422 ,          0.21533 ,          0.28051 ,          0.30451 ,          0.19797 ,          0.24066 ,          0.2557  ,1.1176  ,2.46185 ,5.52835 ,1.20735 ,0.00068     ,0.00068     ,0.00068
   22 , 76341.8  ,  0.9227  ,  1.92625 ,  1.58987 ,  1.15342 ,                0.27927 ,             0.1934  ,            0.38237 ,               0.28645 ,                0.27855 ,             0.19095 ,            0.36137 ,               0.24422 ,          0.21533 ,          0.28051 ,          0.30451 ,          0.19797 ,          0.24066 ,          0.2557  ,1.1176  ,2.46185 ,5.52835 ,1.20735 ,0.000614    ,0.000614    ,0.000614
   23 , 79275.1  ,  0.91636 ,  1.91256 ,  1.57976 ,  1.14954 ,                0.27927 ,             0.1934  ,            0.38237 ,               0.28645 ,                0.27855 ,             0.19095 ,            0.36137 ,               0.24422 ,          0.21533 ,          0.28051 ,          0.30451 ,          0.19797 ,          0.24066 ,          0.2557  ,1.1176  ,2.46185 ,5.52835 ,1.20735 ,0.000548    ,0.000548    ,0.000548
   24 , 82182.2  ,  0.90646 ,  1.89145 ,  1.56121 ,  1.14343 ,                0.27927 ,             0.1934  ,            0.38237 ,               0.28645 ,                0.27855 ,             0.19095 ,            0.36137 ,               0.24422 ,          0.21533 ,          0.28051 ,          0.30451 ,          0.19797 ,          0.24066 ,          0.2557  ,1.1176  ,2.46185 ,5.52835 ,1.20735 ,0.000482    ,0.000482    ,0.000482
   25 , 85082.4  ,  0.89986 ,  1.8796  ,  1.54781 ,  1.13892 ,                0.27927 ,             0.1934  ,            0.38237 ,               0.28645 ,                0.27855 ,             0.19095 ,            0.36137 ,               0.24422 ,          0.21533 ,          0.28051 ,          0.30451 ,          0.19797 ,          0.24066 ,          0.2557  ,1.1176  ,2.46185 ,5.52835 ,1.20735 ,0.000416    ,0.000416    ,0.000416
   26 , 89652.9  ,  0.89113 ,  1.85732 ,  1.53106 ,  1.13417 ,                0.27134 ,             0.18987 ,            0.39271 ,               0.29383 ,                0.27059 ,             0.18796 ,            0.36906 ,               0.25136 ,          0.23444 ,          0.28451 ,          0.31279 ,          0.20668 ,          0.2459  ,          0.26424 ,1.11183 ,2.45428 ,5.13943 ,1.19735 ,0.00035     ,0.00035     ,0.00035
   27 , 94175.4  ,  0.87967 ,  1.83235 ,  1.511   ,  1.12767 ,                0.24462 ,             0.21268 ,            0.39524 ,               0.29582 ,                0.24174 ,             0.20869 ,            0.37151 ,               0.25395 ,          0.24481 ,          0.28559 ,          0.31408 ,          0.21844 ,          0.24877 ,          0.26493 ,1.11114 ,2.45565 ,5.08454 ,1.19529 ,0.000284    ,0.000284    ,0.000284
   28 , 98691.8  ,  0.86676 ,  1.80128 ,  1.48803 ,  1.12116 ,                0.27021 ,             0.19516 ,            0.39487 ,               0.29558 ,                0.26761 ,             0.193   ,            0.3698  ,               0.25294 ,          0.22813 ,          0.28891 ,          0.31363 ,          0.208   ,          0.24832 ,          0.26512 ,1.10965 ,2.45775 ,5.01242 ,1.19281 ,0.000218    ,0.000218    ,0.000218
   29 ,103023    ,  0.85706 ,  1.77913 ,  1.46335 ,  1.11304 ,                0.26873 ,             0.19845 ,            0.3961  ,               0.29615 ,                0.26726 ,             0.19536 ,            0.37491 ,               0.25336 ,          0.23024 ,          0.28814 ,          0.31512 ,          0.21124 ,          0.24899 ,          0.26481 ,1.10758 ,2.45163 ,4.97946 ,1.1899  ,0.000152    ,0.000152    ,0.000152
   30 ,107527    ,  0.84357 ,  1.74839 ,  1.43667 ,  1.10582 ,                0.23136 ,             0.21096 ,            0.39973 ,               0.2992  ,                0.22921 ,             0.20721 ,            0.37802 ,               0.25613 ,          0.23583 ,          0.29213 ,          0.31688 ,          0.21795 ,          0.25119 ,          0.26738 ,1.10567 ,2.45048 ,4.96268 ,1.18774 ,8.6e-05     ,8.6e-05     ,8.6e-05
