epoch ,time     ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 , 1064.57 ,       1.05337 ,       2.45852 ,       1.33248 ,       1.17715 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000332973 ,0.000332973 ,0.000332973
    2 , 1374.49 ,       1.05803 ,       2.4008  ,       1.29734 ,       1.17671 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000658061 ,0.000658061 ,0.000658061
    3 , 1689.6  ,       1.09493 ,       2.4639  ,       1.34341 ,       1.19533 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000974899 ,0.000974899 ,0.000974899
    4 , 2001.01 ,       1.1102  ,       2.49639 ,       1.37291 ,       1.20812 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000962875 ,0.000962875 ,0.000962875
    5 , 2312.13 ,       1.116   ,       2.49752 ,       1.34986 ,       1.20637 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.0009505   ,0.0009505   ,0.0009505
    6 , 2624.37 ,       1.09927 ,       2.46123 ,       1.33295 ,       1.19893 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000938125 ,0.000938125 ,0.000938125
    7 , 2936.29 ,       1.09522 ,       2.46019 ,       1.31681 ,       1.19631 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.00092575  ,0.00092575  ,0.00092575
    8 , 3248.91 ,       1.09024 ,       2.42848 ,       1.29654 ,       1.19255 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000913375 ,0.000913375 ,0.000913375
    9 , 3560.67 ,       1.09066 ,       2.45074 ,       1.29478 ,       1.19381 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000901    ,0.000901    ,0.000901
   10 , 3871.29 ,       1.07901 ,       2.41438 ,       1.26545 ,       1.18428 ,             0.64726 ,          0.55518 ,         0.59719 ,            0.44225 ,             0.64008 ,          0.53586 ,         0.56542 ,            0.35798 ,     0.91508 ,     2.0866  ,     1.00104 ,     1.0952  ,0.000888625 ,0.000888625 ,0.000888625
