epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1021.71,1.15421,2.92357,1.46308,1.25705,0.66931,0.55582,0.60426,0.43288,0.65883,0.53548,0.57105,0.36547,0.99418,2.64831,1.00691,1.1416,0.000332973,0.000332973,0.000332973
2,1169.42,1.14747,2.89935,1.36484,1.2526,0.66931,0.55582,0.60426,0.43288,0.65883,0.53548,0.57105,0.36547,0.99418,2.64831,1.00691,1.1416,0.000600342,0.000600342,0.000600342
3,1317,1.14249,2.88817,1.33515,1.24577,0.66931,0.55582,0.60426,0.43288,0.65883,0.53548,0.57105,0.36547,0.99418,2.64831,1.00691,1.1416,0.000801711,0.000801711,0.000801711
4,1465.14,1.13867,2.88875,1.3341,1.24309,0.66931,0.55582,0.60426,0.43288,0.65883,0.53548,0.57105,0.36547,0.99418,2.64831,1.00691,1.1416,0.000703,0.000703,0.000703
5,1612.26,1.15013,2.91453,1.32897,1.24553,0.66931,0.55582,0.60426,0.43288,0.65883,0.53548,0.57105,0.36547,0.99418,2.64831,1.00691,1.1416,0.000604,0.000604,0.000604
6,2428.85,1.02811,2.68142,1.0197,1.18906,0.67769,0.56394,0.62516,0.44869,0.6653,0.5418,0.58908,0.37824,0.99199,2.64437,0.95271,1.1394,0.000505,0.000505,0.000505
7,3285.55,1.02671,2.68366,1.0108,1.18977,0.67126,0.56708,0.62577,0.44951,0.66384,0.54571,0.59001,0.37922,0.99181,2.64414,0.94956,1.13927,0.000406,0.000406,0.000406
8,4143.81,1.03035,2.67364,1.00145,1.19486,0.68484,0.56465,0.627,0.44996,0.67357,0.54305,0.59028,0.37903,0.99159,2.64407,0.94744,1.13931,0.000307,0.000307,0.000307
9,4937.52,1.02681,2.68313,0.9974,1.19618,0.67905,0.56749,0.62731,0.45021,0.66898,0.54382,0.59023,0.37912,0.99152,2.64461,0.94643,1.13936,0.000208,0.000208,0.000208
10,5738.5,1.03246,2.69153,1.00107,1.19552,0.67545,0.56957,0.62803,0.45101,0.66764,0.54843,0.59156,0.38002,0.99151,2.64426,0.94542,1.13928,0.000109,0.000109,0.000109
