epoch ,time    ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,1350.42 ,       1.18437 ,       2.95402 ,       1.52432 ,       1.25139 ,             0.62846 ,          0.53165 ,         0.57118 ,            0.40506 ,             0.62518 ,          0.50722 ,         0.53802 ,            0.34265 ,     1.02595 ,     2.67884 ,     1.09301 ,     1.1254  ,0.000332973 ,0.000332973 ,0.000332973
    2 ,1518.24 ,       1.1753  ,       2.93442 ,       1.43746 ,       1.24672 ,             0.62846 ,          0.53165 ,         0.57118 ,            0.40506 ,             0.62518 ,          0.50722 ,         0.53802 ,            0.34265 ,     1.02595 ,     2.67884 ,     1.09301 ,     1.1254  ,0.000600342 ,0.000600342 ,0.000600342
    3 ,1687.03 ,       1.17317 ,       2.92556 ,       1.41092 ,       1.24204 ,             0.62846 ,          0.53165 ,         0.57118 ,            0.40506 ,             0.62518 ,          0.50722 ,         0.53802 ,            0.34265 ,     1.02595 ,     2.67884 ,     1.09301 ,     1.1254  ,0.000801711 ,0.000801711 ,0.000801711
    4 ,1855.42 ,       1.16948 ,       2.92653 ,       1.40848 ,       1.23829 ,             0.62846 ,          0.53165 ,         0.57118 ,            0.40506 ,             0.62518 ,          0.50722 ,         0.53802 ,            0.34265 ,     1.02595 ,     2.67884 ,     1.09301 ,     1.1254  ,0.000703    ,0.000703    ,0.000703
    5 ,2023.3  ,       1.18262 ,       2.95064 ,       1.40634 ,       1.24214 ,             0.62846 ,          0.53165 ,         0.57118 ,            0.40506 ,             0.62518 ,          0.50722 ,         0.53802 ,            0.34265 ,     1.02595 ,     2.67884 ,     1.09301 ,     1.1254  ,0.000604    ,0.000604    ,0.000604
    6 ,2986.58 ,       1.05426 ,       2.70975 ,       1.08789 ,       1.17644 ,             0.63758 ,          0.53641 ,         0.58862 ,            0.41857 ,             0.63    ,          0.51294 ,         0.55254 ,            0.35247 ,     1.02393 ,     2.67731 ,     1.01983 ,     1.12275 ,0.000505    ,0.000505    ,0.000505
    7 ,3940.78 ,       1.05411 ,       2.71168 ,       1.08197 ,       1.17692 ,             0.63082 ,          0.54449 ,         0.58979 ,            0.41992 ,             0.62375 ,          0.51936 ,         0.55356 ,            0.35351 ,     1.02369 ,     2.6773  ,     1.01596 ,     1.12261 ,0.000406    ,0.000406    ,0.000406
    8 ,4893.24 ,       1.05677 ,       2.70638 ,       1.07621 ,       1.18209 ,             0.62993 ,          0.54671 ,         0.5905  ,            0.42066 ,             0.61858 ,          0.5221  ,         0.55377 ,            0.35398 ,     1.02363 ,     2.67691 ,     1.0136  ,     1.12255 ,0.000307    ,0.000307    ,0.000307
    9 ,5839.34 ,       1.05245 ,       2.71263 ,       1.07221 ,       1.18179 ,             0.63552 ,          0.54313 ,         0.59037 ,            0.42035 ,             0.6295  ,          0.51498 ,         0.55388 ,            0.35376 ,     1.02353 ,     2.67733 ,     1.01273 ,     1.12265 ,0.000208    ,0.000208    ,0.000208
   10 ,6790.88 ,       1.05929 ,       2.7214  ,       1.07608 ,       1.18182 ,             0.63724 ,          0.54293 ,         0.59225 ,            0.42195 ,             0.62675 ,          0.51838 ,         0.55573 ,            0.35494 ,     1.02353 ,     2.67733 ,     1.0119  ,     1.12257 ,0.000109    ,0.000109    ,0.000109
