epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1103.59,1.03546,2.4298,1.32836,1.17333,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000332973,0.000332973,0.000332973
2,1401.04,1.04027,2.36915,1.30745,1.16963,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000658061,0.000658061,0.000658061
3,1702.39,1.07669,2.42993,1.35377,1.18967,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000974899,0.000974899,0.000974899
4,2002.83,1.09298,2.46937,1.38419,1.19998,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000962875,0.000962875,0.000962875
5,2303.03,1.09873,2.47461,1.36596,1.20022,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.0009505,0.0009505,0.0009505
6,2603.74,1.08448,2.43934,1.35204,1.19508,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000938125,0.000938125,0.000938125
7,2905.16,1.07966,2.4355,1.33476,1.19156,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.00092575,0.00092575,0.00092575
8,3206.4,1.07289,2.40451,1.31553,1.1876,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000913375,0.000913375,0.000913375
9,3509.15,1.07696,2.4284,1.31413,1.19032,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000901,0.000901,0.000901
10,3810.99,1.06475,2.3916,1.28429,1.18117,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000888625,0.000888625,0.000888625
11,4112.85,1.06676,2.3782,1.27626,1.17903,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.00087625,0.00087625,0.00087625
12,4414.62,1.06503,2.39694,1.27978,1.18311,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000863875,0.000863875,0.000863875
13,4715.99,1.05368,2.36927,1.26021,1.17379,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.0008515,0.0008515,0.0008515
14,5017.8,1.05188,2.36306,1.24578,1.17313,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000839125,0.000839125,0.000839125
15,5319.28,1.042,2.33575,1.23317,1.16948,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.00082675,0.00082675,0.00082675
16,5619.95,1.05067,2.35912,1.24153,1.17322,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000814375,0.000814375,0.000814375
17,5921.17,1.04656,2.34824,1.22938,1.16791,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000802,0.000802,0.000802
18,6222.37,1.04194,2.33361,1.22254,1.16543,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000789625,0.000789625,0.000789625
19,6522.91,1.04486,2.3233,1.21849,1.16868,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.00077725,0.00077725,0.00077725
20,6823.91,1.03296,2.31728,1.20905,1.15947,0.65368,0.55294,0.60598,0.44971,0.64712,0.53275,0.57343,0.36567,0.89972,2.04776,0.98942,1.08015,0.000764875,0.000764875,0.000764875
21,7744.43,1.03029,2.30813,1.20004,1.16098,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.0007525,0.0007525,0.0007525
22,8044.11,1.02532,2.29139,1.19185,1.15729,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000740125,0.000740125,0.000740125
23,8344.21,1.03039,2.30591,1.19906,1.1599,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.00072775,0.00072775,0.00072775
24,8644.98,1.02735,2.30694,1.19009,1.15898,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000715375,0.000715375,0.000715375
25,8945.87,1.02351,2.29239,1.18345,1.15538,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000703,0.000703,0.000703
26,9246.09,1.02405,2.29301,1.17998,1.15242,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000690625,0.000690625,0.000690625
27,9547.12,1.02079,2.28779,1.18009,1.15559,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.00067825,0.00067825,0.00067825
28,9847.83,1.01861,2.27212,1.17361,1.15528,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000665875,0.000665875,0.000665875
29,10149.4,1.01193,2.26262,1.16267,1.15036,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.0006535,0.0006535,0.0006535
30,10450.5,1.01721,2.26553,1.16132,1.14946,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000641125,0.000641125,0.000641125
31,10751.6,1.00947,2.25594,1.14958,1.14469,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.00062875,0.00062875,0.00062875
32,11052.7,1.0096,2.26632,1.15395,1.14781,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000616375,0.000616375,0.000616375
33,11353.7,1.00392,2.24283,1.13563,1.14372,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000604,0.000604,0.000604
34,11654.5,0.9992,2.23008,1.1346,1.14177,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000591625,0.000591625,0.000591625
35,11955.6,1.00388,2.238,1.13505,1.14001,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.00057925,0.00057925,0.00057925
36,12256.3,1.00306,2.23313,1.12349,1.13808,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.000566875,0.000566875,0.000566875
37,12556.6,1.00347,2.24579,1.12756,1.14075,0.70474,0.60415,0.66624,0.49945,0.6958,0.58727,0.6338,0.40532,0.88331,1.96016,0.89229,1.07947,0.0005545,0.0005545,0.0005545
