epoch ,time    ,train/box ,train/cls ,train/dfl ,vp_metrics/precision(B) ,vp_metrics/recall(B) ,vp_metrics/mAP50(B) ,vp_metrics/mAP50-95(B) ,vp_metrics/APr(B) ,vp_metrics/APc(B) ,vp_metrics/APf(B) ,val/box ,val/cls ,val/dfl ,lr/pg0     ,lr/pg1     ,lr/pg2
    1 ,2700.61 ,  0.74799 ,  0.79276 ,  1.07145 ,                0.18739 ,              0.2679 ,            0.41571 ,               0.31365 ,          0.27496 ,          0.32543 ,          0.31017 ,      0 ,      0 ,      0 ,0.00533284 ,0.00533284 ,0.00533284
    2 ,5265.37 ,  0.74239 ,  0.71887 ,  1.06818 ,                0.19887 ,              0.2673 ,            0.42121 ,               0.31859 ,          0.29387 ,          0.32533 ,          0.31707 ,      0 ,      0 ,      0 ,0.00538642 ,0.00538642 ,0.00538642
