epoch ,time    ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,1925.75 ,       1.13969 ,       2.89672 ,       1.42481 ,       1.25398 ,             0.66263 ,          0.56    ,         0.6095  ,            0.43623 ,             0.65331 ,          0.54247 ,         0.57698 ,            0.36867 ,     0.99011 ,     2.64453 ,     0.99878 ,     1.14337 ,0.000332973 ,0.000332973 ,0.000332973
    2 ,2116.73 ,       1.12954 ,       2.86953 ,       1.33656 ,       1.24709 ,             0.66263 ,          0.56    ,         0.6095  ,            0.43623 ,             0.65331 ,          0.54247 ,         0.57698 ,            0.36867 ,     0.99011 ,     2.64453 ,     0.99878 ,     1.14337 ,0.000600342 ,0.000600342 ,0.000600342
    3 ,2311.2  ,       1.12806 ,       2.86049 ,       1.31359 ,       1.24376 ,             0.66263 ,          0.56    ,         0.6095  ,            0.43623 ,             0.65331 ,          0.54247 ,         0.57698 ,            0.36867 ,     0.99011 ,     2.64453 ,     0.99878 ,     1.14337 ,0.000801711 ,0.000801711 ,0.000801711
    4 ,2505.4  ,       1.12412 ,       2.86231 ,       1.31302 ,       1.2394  ,             0.66263 ,          0.56    ,         0.6095  ,            0.43623 ,             0.65331 ,          0.54247 ,         0.57698 ,            0.36867 ,     0.99011 ,     2.64453 ,     0.99878 ,     1.14337 ,0.000703    ,0.000703    ,0.000703
    5 ,2698.15 ,       1.1372  ,       2.88584 ,       1.30945 ,       1.24296 ,             0.66263 ,          0.56    ,         0.6095  ,            0.43623 ,             0.65331 ,          0.54247 ,         0.57698 ,            0.36867 ,     0.99011 ,     2.64453 ,     0.99878 ,     1.14337 ,0.000604    ,0.000604    ,0.000604
    6 ,4091.97 ,       1.01793 ,       2.66357 ,       1.00669 ,       1.1857  ,             0.67654 ,          0.56556 ,         0.62939 ,            0.4509  ,             0.66271 ,          0.54525 ,         0.59277 ,            0.38033 ,     0.98732 ,     2.6409  ,     0.9457  ,     1.14043 ,0.000505    ,0.000505    ,0.000505
    7 ,5488.63 ,       1.01606 ,       2.66767 ,       0.99928 ,       1.18678 ,             0.67773 ,          0.56816 ,         0.6309  ,            0.45291 ,             0.66634 ,          0.54809 ,         0.59474 ,            0.38176 ,     0.9871  ,     2.64099 ,     0.94208 ,     1.14015 ,0.000406    ,0.000406    ,0.000406
    8 ,6905.81 ,       1.02005 ,       2.66253 ,       0.99385 ,       1.19231 ,             0.682   ,          0.57066 ,         0.63096 ,            0.45256 ,             0.66575 ,          0.55163 ,         0.59453 ,            0.38141 ,     0.98691 ,     2.64083 ,     0.94004 ,     1.14003 ,0.000307    ,0.000307    ,0.000307
    9 ,8306.56 ,       1.01667 ,       2.66007 ,       0.98754 ,       1.19235 ,             0.67869 ,          0.56761 ,         0.63153 ,            0.4527  ,             0.66658 ,          0.54791 ,         0.59464 ,            0.38123 ,     0.98682 ,     2.64077 ,     0.93956 ,     1.14001 ,0.000208    ,0.000208    ,0.000208
   10 ,9797.2  ,       1.02235 ,       2.67182 ,       0.99413 ,       1.19285 ,             0.67706 ,          0.56919 ,         0.63246 ,            0.45373 ,             0.66647 ,          0.54782 ,         0.59574 ,            0.38222 ,     0.98687 ,     2.64082 ,     0.93832 ,     1.14001 ,0.000109    ,0.000109    ,0.000109
