epoch ,time      ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,  5700.88 ,  1.63981 ,  3.18941 ,  2.83437 ,  1.78415 ,                0.26367 ,             0.12257 ,            0.21946 ,               0.15486 ,                0.295   ,             0.10631 ,            0.20294 ,               0.13505 ,          0.11786 ,          0.14659 ,          0.16884 ,          0.10944 ,          0.12996 ,          0.14416 ,1.37482 ,2.93406 ,7.30588 ,1.45443 ,0.000666605 ,0.000666605 ,0.000666605
    2 ,  9482    ,  1.18325 ,  2.44965 ,  2.07443 ,  1.34111 ,                0.26367 ,             0.12257 ,            0.21946 ,               0.15486 ,                0.295   ,             0.10631 ,            0.20294 ,               0.13505 ,          0.11786 ,          0.14659 ,          0.16884 ,          0.10944 ,          0.12996 ,          0.14416 ,1.37482 ,2.93406 ,7.30588 ,1.45443 ,0.00128927  ,0.00128927  ,0.00128927
    3 , 13231.3  ,  1.11273 ,  2.3204  ,  1.946   ,  1.28427 ,                0.26367 ,             0.12257 ,            0.21946 ,               0.15486 ,                0.295   ,             0.10631 ,            0.20294 ,               0.13505 ,          0.11786 ,          0.14659 ,          0.16884 ,          0.10944 ,          0.12996 ,          0.14416 ,1.37482 ,2.93406 ,7.30588 ,1.45443 ,0.00186794  ,0.00186794  ,0.00186794
    4 , 17032.5  ,  1.07335 ,  2.24022 ,  1.87159 ,  1.2532  ,                0.26367 ,             0.12257 ,            0.21946 ,               0.15486 ,                0.295   ,             0.10631 ,            0.20294 ,               0.13505 ,          0.11786 ,          0.14659 ,          0.16884 ,          0.10944 ,          0.12996 ,          0.14416 ,1.37482 ,2.93406 ,7.30588 ,1.45443 ,0.001802    ,0.001802    ,0.001802
    5 , 20775.2  ,  1.04675 ,  2.1819  ,  1.81416 ,  1.23286 ,                0.26367 ,             0.12257 ,            0.21946 ,               0.15486 ,                0.295   ,             0.10631 ,            0.20294 ,               0.13505 ,          0.11786 ,          0.14659 ,          0.16884 ,          0.10944 ,          0.12996 ,          0.14416 ,1.37482 ,2.93406 ,7.30588 ,1.45443 ,0.001736    ,0.001736    ,0.001736
    6 , 26554.1  ,  1.03119 ,  2.14538 ,  1.78044 ,  1.2216  ,                0.26731 ,             0.18724 ,            0.32777 ,               0.24096 ,                0.26548 ,             0.18329 ,            0.3066  ,               0.20629 ,          0.18856 ,          0.22842 ,          0.26152 ,          0.17585 ,          0.19671 ,          0.22025 ,1.18287 ,2.57288 ,5.71182 ,1.26494 ,0.00167     ,0.00167     ,0.00167
    7 , 30336.6  ,  1.0196  ,  2.12134 ,  1.75916 ,  1.21399 ,                0.26731 ,             0.18724 ,            0.32777 ,               0.24096 ,                0.26548 ,             0.18329 ,            0.3066  ,               0.20629 ,          0.18856 ,          0.22842 ,          0.26152 ,          0.17585 ,          0.19671 ,          0.22025 ,1.18287 ,2.57288 ,5.71182 ,1.26494 ,0.001604    ,0.001604    ,0.001604
    8 , 34189    ,  1.01268 ,  2.09891 ,  1.73882 ,  1.20872 ,                0.26731 ,             0.18724 ,            0.32777 ,               0.24096 ,                0.26548 ,             0.18329 ,            0.3066  ,               0.20629 ,          0.18856 ,          0.22842 ,          0.26152 ,          0.17585 ,          0.19671 ,          0.22025 ,1.18287 ,2.57288 ,5.71182 ,1.26494 ,0.001538    ,0.001538    ,0.001538
    9 , 37980.6  ,  1.00386 ,  2.08066 ,  1.72629 ,  1.20322 ,                0.26731 ,             0.18724 ,            0.32777 ,               0.24096 ,                0.26548 ,             0.18329 ,            0.3066  ,               0.20629 ,          0.18856 ,          0.22842 ,          0.26152 ,          0.17585 ,          0.19671 ,          0.22025 ,1.18287 ,2.57288 ,5.71182 ,1.26494 ,0.001472    ,0.001472    ,0.001472
   10 , 41854.9  ,  0.99739 ,  2.06654 ,  1.7142  ,  1.1989  ,                0.26731 ,             0.18724 ,            0.32777 ,               0.24096 ,                0.26548 ,             0.18329 ,            0.3066  ,               0.20629 ,          0.18856 ,          0.22842 ,          0.26152 ,          0.17585 ,          0.19671 ,          0.22025 ,1.18287 ,2.57288 ,5.71182 ,1.26494 ,0.001406    ,0.001406    ,0.001406
   11 , 47562.1  ,  0.99174 ,  2.05251 ,  1.69809 ,  1.19366 ,                0.25273 ,             0.20452 ,            0.35604 ,               0.26318 ,                0.25404 ,             0.19882 ,            0.33241 ,               0.22646 ,          0.19344 ,          0.2528  ,          0.28493 ,          0.17805 ,          0.22155 ,          0.23951 ,1.15395 ,2.54271 ,5.71491 ,1.23597 ,0.00134     ,0.00134     ,0.00134
   12 , 51317.8  ,  0.98409 ,  2.03888 ,  1.68216 ,  1.18895 ,                0.25273 ,             0.20452 ,            0.35604 ,               0.26318 ,                0.25404 ,             0.19882 ,            0.33241 ,               0.22646 ,          0.19344 ,          0.2528  ,          0.28493 ,          0.17805 ,          0.22155 ,          0.23951 ,1.15395 ,2.54271 ,5.71491 ,1.23597 ,0.001274    ,0.001274    ,0.001274
