epoch ,time      ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
   13 , 55155.2  ,  0.9777  ,  2.02033 ,  1.67016 ,  1.18494 ,                0.25273 ,             0.20452 ,            0.35604 ,               0.26318 ,                0.25404 ,             0.19882 ,            0.33241 ,               0.22646 ,          0.19344 ,          0.2528  ,          0.28493 ,          0.17805 ,          0.22155 ,          0.23951 ,1.15395 ,2.54271 ,5.71491 ,1.23597 ,0.001208    ,0.001208    ,0.001208
   14 , 58954.6  ,  0.97057 ,  2.00571 ,  1.65889 ,  1.1806  ,                0.25273 ,             0.20452 ,            0.35604 ,               0.26318 ,                0.25404 ,             0.19882 ,            0.33241 ,               0.22646 ,          0.19344 ,          0.2528  ,          0.28493 ,          0.17805 ,          0.22155 ,          0.23951 ,1.15395 ,2.54271 ,5.71491 ,1.23597 ,0.001142    ,0.001142    ,0.001142
   15 , 62834.2  ,  0.96575 ,  1.99649 ,  1.64764 ,  1.17732 ,                0.25273 ,             0.20452 ,            0.35604 ,               0.26318 ,                0.25404 ,             0.19882 ,            0.33241 ,               0.22646 ,          0.19344 ,          0.2528  ,          0.28493 ,          0.17805 ,          0.22155 ,          0.23951 ,1.15395 ,2.54271 ,5.71491 ,1.23597 ,0.001076    ,0.001076    ,0.001076
   16 , 68511.8  ,  0.96056 ,  1.98715 ,  1.63516 ,  1.17474 ,                0.26396 ,             0.20602 ,            0.36784 ,               0.27351 ,                0.26622 ,             0.20159 ,            0.34602 ,               0.23504 ,          0.20071 ,          0.26541 ,          0.2938  ,          0.18498 ,          0.23172 ,          0.247   ,1.14026 ,2.53065 ,5.2937  ,1.22402 ,0.00101     ,0.00101     ,0.00101
   17 , 72391.7  ,  0.95596 ,  1.97335 ,  1.62397 ,  1.17141 ,                0.26396 ,             0.20602 ,            0.36784 ,               0.27351 ,                0.26622 ,             0.20159 ,            0.34602 ,               0.23504 ,          0.20071 ,          0.26541 ,          0.2938  ,          0.18498 ,          0.23172 ,          0.247   ,1.14026 ,2.53065 ,5.2937  ,1.22402 ,0.000944    ,0.000944    ,0.000944
   18 , 76191.5  ,  0.94897 ,  1.95972 ,  1.61266 ,  1.16705 ,                0.26396 ,             0.20602 ,            0.36784 ,               0.27351 ,                0.26622 ,             0.20159 ,            0.34602 ,               0.23504 ,          0.20071 ,          0.26541 ,          0.2938  ,          0.18498 ,          0.23172 ,          0.247   ,1.14026 ,2.53065 ,5.2937  ,1.22402 ,0.000878    ,0.000878    ,0.000878
   19 , 80077.5  ,  0.94377 ,  1.94738 ,  1.60007 ,  1.16345 ,                0.26396 ,             0.20602 ,            0.36784 ,               0.27351 ,                0.26622 ,             0.20159 ,            0.34602 ,               0.23504 ,          0.20071 ,          0.26541 ,          0.2938  ,          0.18498 ,          0.23172 ,          0.247   ,1.14026 ,2.53065 ,5.2937  ,1.22402 ,0.000812    ,0.000812    ,0.000812
   20 , 83863.8  ,  0.93578 ,  1.9303  ,  1.5882  ,  1.1592  ,                0.26396 ,             0.20602 ,            0.36784 ,               0.27351 ,                0.26622 ,             0.20159 ,            0.34602 ,               0.23504 ,          0.20071 ,          0.26541 ,          0.2938  ,          0.18498 ,          0.23172 ,          0.247   ,1.14026 ,2.53065 ,5.2937  ,1.22402 ,0.000746    ,0.000746    ,0.000746
   21 , 89574.3  ,  0.92877 ,  1.91369 ,  1.57683 ,  1.15597 ,                0.29894 ,             0.18822 ,            0.38942 ,               0.28999 ,                0.30799 ,             0.17995 ,            0.36671 ,               0.2488  ,          0.22188 ,          0.28722 ,          0.3047  ,          0.20263 ,          0.25007 ,          0.25597 ,1.12841 ,2.50832 ,4.89204 ,1.21239 ,0.00068     ,0.00068     ,0.00068
   22 , 93367    ,  0.92267 ,  1.89806 ,  1.55906 ,  1.1507  ,                0.29894 ,             0.18822 ,            0.38942 ,               0.28999 ,                0.30799 ,             0.17995 ,            0.36671 ,               0.2488  ,          0.22188 ,          0.28722 ,          0.3047  ,          0.20263 ,          0.25007 ,          0.25597 ,1.12841 ,2.50832 ,4.89204 ,1.21239 ,0.000614    ,0.000614    ,0.000614
   23 , 97200.5  ,  0.91643 ,  1.88454 ,  1.54819 ,  1.14682 ,                0.29894 ,             0.18822 ,            0.38942 ,               0.28999 ,                0.30799 ,             0.17995 ,            0.36671 ,               0.2488  ,          0.22188 ,          0.28722 ,          0.3047  ,          0.20263 ,          0.25007 ,          0.25597 ,1.12841 ,2.50832 ,4.89204 ,1.21239 ,0.000548    ,0.000548    ,0.000548
   24 ,101024    ,  0.90604 ,  1.86138 ,  1.52877 ,  1.14068 ,                0.29894 ,             0.18822 ,            0.38942 ,               0.28999 ,                0.30799 ,             0.17995 ,            0.36671 ,               0.2488  ,          0.22188 ,          0.28722 ,          0.3047  ,          0.20263 ,          0.25007 ,          0.25597 ,1.12841 ,2.50832 ,4.89204 ,1.21239 ,0.000482    ,0.000482    ,0.000482
   25 ,104868    ,  0.899   ,  1.84984 ,  1.51524 ,  1.13646 ,                0.29894 ,             0.18822 ,            0.38942 ,               0.28999 ,                0.30799 ,             0.17995 ,            0.36671 ,               0.2488  ,          0.22188 ,          0.28722 ,          0.3047  ,          0.20263 ,          0.25007 ,          0.25597 ,1.12841 ,2.50832 ,4.89204 ,1.21239 ,0.000416    ,0.000416    ,0.000416
   26 ,110542    ,  0.88919 ,  1.82536 ,  1.49694 ,  1.13048 ,                0.27013 ,             0.2019  ,            0.3958  ,               0.29837 ,                0.25796 ,             0.20121 ,            0.37463 ,               0.25577 ,          0.22474 ,          0.29516 ,          0.31446 ,          0.20343 ,          0.25572 ,          0.26522 ,1.11787 ,2.48388 ,4.55276 ,1.20075 ,0.00035     ,0.00035     ,0.00035
   27 ,116219    ,  0.87742 ,  1.80008 ,  1.47653 ,  1.12482 ,                0.22599 ,             0.22278 ,            0.40044 ,               0.29939 ,                0.22718 ,             0.21721 ,            0.37643 ,               0.25805 ,          0.23158 ,          0.29396 ,          0.3164  ,          0.20892 ,          0.25885 ,          0.26619 ,1.11639 ,2.47652 ,4.48658 ,1.19825 ,0.000284    ,0.000284    ,0.000284
   28 ,121853    ,  0.86496 ,  1.76967 ,  1.45343 ,  1.11812 ,                0.24066 ,             0.21901 ,            0.40243 ,               0.30212 ,                0.25673 ,             0.20513 ,            0.37746 ,               0.25936 ,          0.22924 ,          0.29695 ,          0.31981 ,          0.20473 ,          0.2602  ,          0.26845 ,1.11354 ,2.47214 ,4.41841 ,1.19585 ,0.000218    ,0.000218    ,0.000218
   29 ,127294    ,  0.85422 ,  1.74586 ,  1.42864 ,  1.11001 ,                0.23898 ,             0.21961 ,            0.40704 ,               0.30558 ,                0.26076 ,             0.20652 ,            0.38136 ,               0.26156 ,          0.23505 ,          0.30239 ,          0.32111 ,          0.20983 ,          0.26346 ,          0.26918 ,1.10903 ,2.45867 ,4.35504 ,1.19196 ,0.000152    ,0.000152    ,0.000152
   30 ,132846    ,  0.83997 ,  1.71487 ,  1.40184 ,  1.10224 ,                0.25452 ,             0.20607 ,            0.40894 ,               0.30521 ,                0.25303 ,             0.20366 ,            0.38414 ,               0.26245 ,          0.22381 ,          0.30356 ,          0.32132 ,          0.2015  ,          0.26638 ,          0.26994 ,1.10486 ,2.45387 ,4.2815  ,1.18932 ,8.6e-05     ,8.6e-05     ,8.6e-05
